epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2547.56,0.96605,0.61803,1.19445,0.86836,0.91285,0.89284,0.67845,0.90394,0.50848,1.12145,0.000560909,0.000560909,0.000560909
43,2607.56,0.96716,0.61229,1.19344,0.81039,0.90431,0.85033,0.62801,0.96272,0.54048,1.16229,0.000555833,0.000555833,0.000555833
44,2667.74,0.97673,0.61487,1.20091,0.75671,0.92338,0.84557,0.6413,0.9036,0.5168,1.10776,0.000550758,0.000550758,0.000550758
45,2727.14,0.95845,0.61177,1.19372,0.85952,0.85331,0.88446,0.66147,0.91513,0.52276,1.11263,0.000545682,0.000545682,0.000545682
46,2787.36,0.95016,0.60594,1.1855,0.86444,0.89404,0.8922,0.68127,0.9319,0.51198,1.14681,0.000540607,0.000540607,0.000540607
47,2848.04,0.9571,0.60782,1.18661,0.80231,0.78948,0.8496,0.65924,0.89802,0.51501,1.09315,0.000535532,0.000535532,0.000535532
48,2908.39,0.9522,0.60011,1.19045,0.85896,0.88058,0.94648,0.72843,0.92167,0.5023,1.12783,0.000530456,0.000530456,0.000530456
49,2969.14,0.95496,0.60024,1.18819,0.88278,0.88088,0.94709,0.71684,0.91018,0.49523,1.11627,0.000525381,0.000525381,0.000525381
50,3029.39,0.95269,0.59476,1.18495,0.84838,0.91718,0.87668,0.67505,0.91039,0.4923,1.11201,0.000520305,0.000520305,0.000520305
51,3089.21,0.94459,0.59289,1.18194,0.80018,0.82126,0.85073,0.65115,0.91649,0.50138,1.12408,0.00051523,0.00051523,0.00051523
52,3149.79,0.93715,0.58821,1.17282,0.91082,0.86021,0.94472,0.71493,0.9135,0.49938,1.10956,0.000510155,0.000510155,0.000510155
53,3210.24,0.93154,0.58397,1.17142,0.80952,0.80673,0.84391,0.63578,0.93904,0.51797,1.1501,0.000505079,0.000505079,0.000505079
54,3269.78,0.93414,0.58568,1.17795,0.89639,0.8432,0.94631,0.7013,0.95707,0.50374,1.15886,0.000500004,0.000500004,0.000500004
55,3330,0.92501,0.5745,1.17166,0.77827,0.89787,0.85058,0.65133,0.9187,0.50064,1.11435,0.000494928,0.000494928,0.000494928
56,3389.71,0.92685,0.57773,1.16935,0.88176,0.88568,0.95,0.70397,0.91724,0.49559,1.11394,0.000489853,0.000489853,0.000489853
57,3449.44,0.93402,0.57655,1.17299,0.92014,0.85593,0.95032,0.72447,0.89907,0.47259,1.08869,0.000484778,0.000484778,0.000484778
58,3509.92,0.9208,0.56924,1.16594,0.85532,0.90716,0.89553,0.6687,0.90953,0.50013,1.11468,0.000479702,0.000479702,0.000479702
59,3570.24,0.91297,0.56689,1.16221,0.92542,0.79877,0.84795,0.64349,0.92345,0.49713,1.12277,0.000474627,0.000474627,0.000474627
