epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2564.93,0.96932,0.6231,1.19815,0.81945,0.91866,0.85636,0.63763,0.9358,0.51394,1.12755,0.000520792,0.000520792,0.000520792
43,2625.04,0.96991,0.61422,1.19929,0.83422,0.88432,0.86861,0.63685,0.92001,0.5221,1.13442,0.000516079,0.000516079,0.000516079
44,2684.22,0.95522,0.60565,1.18906,0.88891,0.88811,0.94209,0.70754,0.91024,0.52773,1.12649,0.000511367,0.000511367,0.000511367
45,2745.16,0.95821,0.61098,1.19228,0.84365,0.91218,0.87141,0.67343,0.89349,0.50929,1.11012,0.000506654,0.000506654,0.000506654
46,2805.58,0.95056,0.60273,1.19075,0.88381,0.90666,0.94587,0.7101,0.91467,0.52134,1.12878,0.000501942,0.000501942,0.000501942
47,2865.65,0.95204,0.60177,1.18956,0.78569,0.93714,0.85029,0.64732,0.91694,0.50133,1.12026,0.00049723,0.00049723,0.00049723
48,2925.49,0.94259,0.59471,1.18335,0.81583,0.9145,0.85326,0.65172,0.9105,0.49679,1.1329,0.000492517,0.000492517,0.000492517
49,2985.19,0.93916,0.59333,1.17769,0.87283,0.88242,0.94652,0.70966,0.9239,0.50207,1.12597,0.000487805,0.000487805,0.000487805
50,3044.31,0.93827,0.59057,1.18315,0.81434,0.91995,0.8605,0.64582,0.93256,0.50626,1.12946,0.000483092,0.000483092,0.000483092
51,3104.13,0.93407,0.58848,1.17783,0.89537,0.89106,0.95042,0.72153,0.91204,0.49193,1.11123,0.00047838,0.00047838,0.00047838
52,3163.23,0.93233,0.57854,1.17878,0.87404,0.88221,0.88761,0.66894,0.92905,0.51346,1.15355,0.000473668,0.000473668,0.000473668
53,3223.13,0.92167,0.5809,1.17758,0.89529,0.89139,0.9512,0.73653,0.90323,0.48367,1.11683,0.000468955,0.000468955,0.000468955
54,3282.35,0.93035,0.57929,1.17534,0.86081,0.89457,0.94881,0.70968,0.90307,0.50638,1.10249,0.000464243,0.000464243,0.000464243
55,3342.96,0.92605,0.57487,1.17184,0.85582,0.87847,0.89122,0.64993,0.90846,0.50007,1.1136,0.00045953,0.00045953,0.00045953
56,3403.68,0.92397,0.57745,1.17149,0.88545,0.87835,0.94791,0.71018,0.899,0.48406,1.11159,0.000454818,0.000454818,0.000454818
57,3463.33,0.92227,0.57035,1.17449,0.83358,0.89405,0.85818,0.6498,0.90743,0.49025,1.11985,0.000450106,0.000450106,0.000450106
58,3523.56,0.91438,0.56537,1.16758,0.87243,0.86999,0.94796,0.68567,0.90279,0.48207,1.11854,0.000445393,0.000445393,0.000445393
